price,address,addressStreet,addressCity,addressState,addressZipcode,beds,baths,area,PSF
5400,"202-38 3rd St #202, Los Altos, CA 94022",202-38 3rd St #202,Los Altos,CA,94022,2,2,1692,3.191489362
3500,"1723 Marshall Ct #B, Los Altos, CA 94024",1723 Marshall Ct #B,Los Altos,CA,94024,2,2,1200,2.916666667
3395,"950 N San Antonio Rd APT 12A, Los Altos, CA 94022",950 N San Antonio Rd APT 12A,Los Altos,CA,94022,1,1,1200,2.829166667
5500,"5100 El Camino Real APT 303, Los Altos, CA 94022",5100 El Camino Real APT 303,Los Altos,CA,94022,3,2,1302,4.224270353
1475,"533 Mimosa Ct #COTTAGE, Los Altos, CA 94024",533 Mimosa Ct #COTTAGE,Los Altos,CA,94024,0,1,200,7.375
4995,"100 1st St UNIT 104, Los Altos, CA 94022",100 1st St UNIT 104,Los Altos,CA,94022,1,1.5,1205,4.145228216
3300,"38 3rd St APT 100, Los Altos, CA 94022",38 3rd St APT 100,Los Altos,CA,94022,1,1,809,4.079110012
3350,"80 2nd St APT 4, Los Altos, CA 94022",80 2nd St APT 4,Los Altos,CA,94022,2,2,1164,2.878006873
2750,"2 Cuesta Dr #6, Los Altos, CA 94022",2 Cuesta Dr #6,Los Altos,CA,94022,2,1,950,2.894736842
1795,"1011 Parma Way #A, Los Altos, CA 94024",1011 Parma Way #A,Los Altos,CA,94024,1,1,414,4.335748792
3200,"73 3rd St APT 17, Los Altos, CA 94022",73 3rd St APT 17,Los Altos,CA,94022,2,1.5,1072,2.985074627
3900,"487 Tyndall St APT 1, Los Altos, CA 94022",487 Tyndall St APT 1,Los Altos,CA,94022,2,1,900,4.333333333
2950,"(undisclosed Address), Los Altos, CA 94024",(undisclosed Address),Los Altos,CA,94024,2,1,1000,2.95
4000,"4388 El Camino Real UNIT 167, Los Altos, CA 94022",4388 El Camino Real UNIT 167,Los Altos,CA,94022,2,2,1200,3.333333333
4100,"4388 El Camino Real, Los Altos, CA 94022",4388 El Camino Real,Los Altos,CA,94022,2,2,1200,3.416666667
2895,"438 Gabilan St, Los Altos, CA 94022",438 Gabilan St,Los Altos,CA,94022,2,2,6485,0.446414803
2995,"(undisclosed Address), Los Altos, CA 94024",(undisclosed Address),Los Altos,CA,94024,1,1,700,4.278571429
